Overall rank,name,gdp,sex_ratio,surface_area,life_expectancy_male,unemployment,homicide_rate,secondary_school_enrollment_female,employment_agriculture,co2_emissions,tourists,life_expectancy_female,post_secondary_enrollment_female,post_secondary_enrollment_male,infant_mortality,gdp_growth,threatened_species,population,urban_population,secondary_school_enrollment_male,pop_growth,pop_density,internet_users,gdp_per_capita,fertility
92,Indonesia,1042173.0,101.4,1910931.0,69.3,4.8,0.4,90.0,27.7,496.4,15810.0,73.6,39.0,33.8,18.9,5.2,1654.0,273524.0,56.0,87.8,1.1,151.0,39.9,3893.5,2.3
93,China,13608152.0,105.3,9600000.0,74.5,4.4,0.5,88.0,24.7,9257.9,62900.0,79.0,55.9,45.9,9.9,6.6,1172.0,1439324.0,60.3,88.3,0.5,153.3,54.3,9531.9,1.7
95,Bhutan,2658.0,113.4,38394.0,71.0,2.4,1.2,95.7,54.6,,274.0,71.6,15.5,15.6,24.1,5.8,101.0,772.0,41.6,84.7,1.2,20.2,48.1,3523.8,2.0
96,Cameroon,38694.0,100.1,475650.0,57.5,3.4,1.4,55.4,42.9,6.2,1081.0,60.0,11.4,14.1,61.2,4.1,890.0,26546.0,57.0,64.6,2.6,56.2,23.2,1534.5,4.6
97,Bulgaria,66199.0,94.4,111002.0,71.3,3.8,1.3,96.8,6.3,42.8,9273.0,78.5,78.8,63.7,6.3,3.1,127.0,6948.0,75.3,99.5,-0.7,64.0,64.8,9387.8,1.6
98,Ghana,65535.0,102.8,238537.0,62.6,4.5,2.1,64.5,28.5,13.8,897.0,64.7,13.6,17.7,35.6,6.3,255.0,31073.0,56.7,64.6,2.2,136.6,39.0,2201.6,3.9
100,Nepal,27830.0,84.5,147181.0,68.8,1.5,2.3,83.0,64.5,10.1,1173.0,71.7,12.8,12.0,27.9,6.7,109.0,29137.0,20.2,77.4,1.5,203.3,34.0,990.6,1.9
101,Jordan,42231.0,102.6,89318.0,72.7,14.6,1.4,64.2,3.0,25.6,4150.0,76.1,37.4,31.5,14.6,1.9,121.0,10203.0,91.2,62.1,1.9,114.9,66.8,4237.8,2.8
102,Benin,10412.0,99.8,114763.0,59.8,2.0,1.1,50.7,38.0,6.8,295.0,62.8,7.5,17.0,61.1,6.5,106.0,12123.0,47.9,67.1,2.7,107.5,20.0,906.5,4.9
104,Gabon,16994.0,103.7,267668.0,64.0,20.2,,,32.4,3.4,269.0,68.2,,,35.3,1.2,329.0,2226.0,89.7,,2.7,8.6,62.0,8018.8,4.0
106,South Africa,368094.0,97.1,1221037.0,60.2,28.5,36.4,109.0,5.0,421.7,10472.0,67.1,26.4,18.4,27.2,0.8,597.0,59309.0,66.9,100.4,1.4,48.9,56.2,6369.2,2.4
107,Albania,15059.0,103.7,28748.0,76.7,12.8,2.3,95.7,36.1,4.3,5340.0,80.1,67.6,43.0,8.0,4.1,142.0,2878.0,61.2,95.2,-0.1,105.0,71.8,5223.8,1.6
109,Cambodia,24572.0,95.4,181035.0,67.2,0.7,1.8,41.6,31.2,10.8,6201.0,71.5,12.9,14.4,23.7,7.5,280.0,16719.0,23.8,48.7,1.5,94.7,40.0,1512.1,2.5
111,Senegal,23809.0,95.3,196712.0,65.3,6.7,0.3,45.7,29.4,8.3,1365.0,69.4,10.3,15.2,32.7,6.8,145.0,16744.0,47.7,41.7,2.8,87.0,46.0,1501.7,4.6
112,Somalia,1494.0,99.4,637657.0,55.3,11.4,,3.7,83.0,,,58.7,,,69.3,3.1,199.0,15893.0,45.6,8.1,2.8,25.3,2.0,99.6,6.1
113,Namibia,14519.0,94.1,824116.0,60.0,20.6,17.7,70.0,21.8,4.0,1499.0,65.8,30.3,15.3,33.4,-0.1,117.0,2541.0,51.0,61.5,1.9,3.1,51.0,5930.1,3.4
115,Burkina Faso,16200.0,99.9,272967.0,60.1,6.4,1.3,40.7,24.7,,144.0,61.6,4.8,8.2,54.2,6.8,36.0,20903.0,30.0,40.7,2.9,76.4,16.0,820.2,5.2
